second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
60,16,28,1,0.5,0.5,0.003437775,0.003437775,0.00320816,68,0.41463414,0.41463414,0,0,0,1,0
60,37,49,1,0.5,0.5,0.99656224,0.99656224,0.930000305,96,0.58536583,0.58536583,1,0,0,0,0
61,35,49,1,0.16666667,0.16666667,0.33936316,0.33936316,0.299999237,96,0.28486648,0.28486648,1,0,0,0,0
61,1,32,1,0.16666667,0.6666667,0.022624785,0.6561058,0.020000458,37,0.109792285,0.43916914,0,0,0,1,0
61,3,32,1,0.16666667,0.6666667,0.01131455,0.6561058,0.010002136,37,0.109792285,0.43916914,0,0,0,1,0
61,4,32,1,0.16666667,0.6666667,0.03393502,0.6561058,0.029998779,37,0.109792285,0.43916914,0,0,0,1,0
61,7,32,1,0.16666667,0.6666667,0.5882315,0.6561058,0.520000458,37,0.109792285,0.43916914,0,0,0,1,0
61,22,16,1,0.16666667,0.16666667,0.004530998,0.004530998,0.004005432,93,0.27596438,0.27596438,0,0,1,0,0
62,22,16,1,0.25,0.25,0.004392678,0.004392678,0.004039764,94,0.31229237,0.31229237,0,0,1,0,0
62,16,22,2,0.5,0.5,0.006109929,0.006109929,0.005619049,111,0.36877078,0.36877078,0,0,0,2,0
62,44,49,1,0.25,0.25,0.98949736,0.98949736,0.909999847,96,0.31893688,0.31893688,1,0,0,0,0
63,24,16,2,1,1,1,1,0.008049011,187,1,1,0,0,2,0,0
64,16,24,2,0.6666667,0.6666667,0.004507981,0.004507981,0.005615234,111,0.5362319,0.5362319,0,0,0,2,0
64,45,49,1,0.33333334,0.33333334,0.99549204,0.99549204,1.240005493,96,0.46376812,0.46376812,1,0,0,0,0
65,8,32,1,0.33333334,0.6666667,0.13143115,0.9858841,0.039993286,37,0.21022727,0.42045453,0,0,0,1,0
65,12,32,1,0.33333334,0.6666667,0.8544529,0.9858841,0.260002136,37,0.21022727,0.42045453,0,0,0,1,0
65,36,37,1,0.33333334,0.33333334,0.014115936,0.014115936,0.004295349,102,0.57954544,0.57954544,1,0,0,0,0
66,39,49,1,1,1,1,1,1.550003052,96,1,1,1,0,0,0,0
67,41,49,1,0.5,0.5,0.9208936,0.9208936,0.050003052,96,0.4848485,0.4848485,1,0,0,0,0
67,44,39,1,0.5,0.5,0.07910637,0.07910637,0.004295349,102,0.5151515,0.5151515,1,0,0,0,0
69,1,0,1,0.11111111,0.11111111,0.002323578,0.002323578,0.00177002,23,0.05263158,0.05263158,0,0,0,1,0
69,0,32,1,0.11111111,0.6666667,0.026250426,0.5907297,0.019996643,37,0.08466819,0.50800914,0,0,0,1,0
69,2,32,1,0.11111111,0.6666667,0.013130221,0.5907297,0.010002136,37,0.08466819,0.50800914,0,0,0,1,0
